PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE,,
CA-S-15091,"TAMAR DISTILLERY, INC.",Active,REDWOOD VALLEY,1110 BEL ARBRES DR ,CA,95470,9695,MENDOCINO,15-Oct-09,15-Oct-09,,
CA-S-15093,"VALLEY SPIRITS, L.L.C.",Active,MODESTO,3084 FARRAR AVE ,CA,95354,0,STANISLAUS,22-Feb-10,22-Feb-10,,
CA-S-15094,"INVESTORS OF AMERICA, LP, FIRST SECURITIES OF AMERICA, INC., GP",Active,SANTA YNEZ,2121 ALISOS AVE ,CA,93460,9390,SANTA BARBARA,16-Dec-10,16-Dec-10,,
CA-S-15095,CALIFORNIA NATURAL PRODUCTS,Active,LATHROP,1250 E LATHROP RD ,CA,95330,9709,SAN JOAQUIN,24-Sep-10,24-Sep-10,,
CA-S-15096,"YAKUT VINEYARDS, INC.",Active,TEMECULA,39820 CALLE CONTENTO ,CA,92591,5039,RIVERSIDE,2-Mar-10,2-Mar-10,,
CA-S-15097,"AMERICAN WINESECRETS, LLC",Active,SEBASTOPOL,1446 INDUSTRIAL AVE ,CA,95472,0,SONOMA,25-May-10,25-May-10,,
CA-S-15098,"SONOMA COUNTY DISTILLING COMPANY, LLC",Active,ROHNERT PARK,5625 STATE FARM DR ,CA,94928,0,SONOMA,7-May-14,7-May-14,,
CA-S-15100,THE HESS COLLECTION WINERY,Active,AMERICAN CANYON,1166 COMMERCE BLVD ,CA,94503,9621,NAPA,5-Aug-10,5-Aug-10,,
CA-S-15102,DA VE WINERY INC.,Active,NAPA,2515 NAPA VALLEY CORPORATE DR ,CA,94558,7541,NAPA,2-Aug-10,2-Aug-10,,
CA-S-15103,"ANCHOR BREWING COMPANY, LLC",Active,SAN FRANCISCO,1705 MARIPOSA STREET ,CA,94107,2334,SAN FRANCISCO,3-Sep-10,3-Sep-10,,
CA-S-15106,MAVRIK NORTH AMERICA LLC,Active,SANTA ROSA,345 TESCONI CIR ,CA,95401,4617,SONOMA,22-Feb-11,22-Feb-11,,
CA-S-15107,"TAHOE MOONSHINE DISTILLERY, INC.",Active,SOUTH LAKE TAHOE,1611 SHOP ST ,CA,96150,3680,EL DORADO,10-Jan-11,10-Jan-11,,
CA-S-15108,"GOOD TIME BEVERAGES, LLC",Active,DOWNEY,9234 HALL RD ,CA,90241,5308,LOS ANGELES,28-Feb-11,28-Feb-11,,
CA-S-15110,"EAFD, LLC",Active,GARDENA,1545 W 134TH  ST ,CA,90249,0,LOS ANGELES,7-Mar-11,7-Mar-11,,
CA-S-15112,"LITCO LUMBER, INC.",Active,DIAMOND SPRINGS,6601 MERCHANDISE WAY ,CA,95619,9494,EL DORADO,27-Apr-11,27-Apr-11,,
CA-S-15114,PEACHY CANYON WINERY,Active,PASO ROBLES,2025 NACIMIENTO LAKE DR ,CA,93446,8753,SAN LUIS OBISPO,14-Jun-11,14-Jun-11,,
CA-S-15117,"SONOMA-CUTRER VINEYARDS, INC.",Active,WINDSOR,4401 SLUSSER RD ,CA,95492,7601,SONOMA,11-Jul-11,11-Jul-11,,
CA-S-15118,"RED SOLES, LLC",Active,PASO ROBLES,3230 OAKDALE RD ,CA,93446,8655,SAN LUIS OBISPO,14-Sep-11,14-Sep-11,,
CA-S-15119,JOSEPH ALEXANDER VILLICANA II AND MONICA VILLICANA,Active,PASO ROBLES,2725 ADELAIDA RD ,CA,93446,9765,SAN LUIS OBISPO,5-Aug-11,5-Aug-11,,
CA-S-15121,"PINE RIDGE WINERY, LLC",Active,HEALDSBURG,700 GROVE  ST ,CA,95448,4753,SONOMA,1-Aug-11,1-Aug-11,,
CA-S-15122,LLOYD SPIRITS LLC,Active,GONZALES,425 ALTA ST ,CA,93926,0,MONTEREY,23-Sep-11,23-Sep-11,,
CA-S-15123,CALERA WINE COMPANY,Active,HOLLISTER,11300 CIENEGA RD ,CA,95023,9159,SAN BENITO,13-Sep-11,13-Sep-11,,
