PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE
RI-S-15001,SONS OF LIBERTY SPIRITS COMPANY,Active,S KINGSTOWN,1425 KINGSTOWN RD ,RI,2879,2449,WASHINGTON,23-Dec-10,23-Dec-10
SC-S-15000,TERRESSENTIA CORPORATION,Active,NORTH CHARLESTON,4100 CAROLINA COMMERCE PKWY ,SC,29456,0,BERKELEY,31-Jan-11,31-Jan-11
SC-S-15002,FIREFLY DISTILLERY LLC,Active,WADMALAW ISLAND,6775 BEARS BLUFF RD ,SC,29487,6812,CHARLESTON,18-Oct-07,18-Oct-07
SC-S-15003,TIGER JUICE LLC,Active,HARTSVILLE,1438 CEDAR CREEK RD ,SC,29550,1271,DARLINGTON,6-Aug-09,6-Aug-09
SC-S-15005,"SOUTHERN ESTATES INVESTMENTS , LLC",Active,ANDERSON,200 W BENSON ST ,SC,29624,0,ANDERSON,23-Sep-11,23-Sep-11
SC-S-15006,"SIX AND TWENTY DISTILLERY, LLC",Active,PIEDMONT,3109 HIGHWAY 153 ,SC,29642,7722,PICKENS,3-Jul-12,3-Jul-12
SC-S-20001,JOHN F. CONNELLY,Active,TRAVELERS REST,14  S MAIN ST ,SC,29690,1810,Greenville,9-Oct-12,9-Oct-12
SC-S-20002,"ROCK BOTTOM DISTILLERS, LLC",Active,SPARTANBURG,201  SHA LN ,SC,29303,0,Cherokee,29-Oct-12,29-Oct-12
SD-S-15000,"DAKOTA SPIRITS DISTILLERY, LLC",Active,PIERRE,3601 AIRPORT RD ,SD,57501,5603,HUGHES,30-Oct-09,30-Dec-09
SD-S-15001,"STILL 173, LLC",Active,VERMILLION,31303  464TH AVE ,SD,57069,6702,CLAY,17-Aug-07,17-Aug-07
SD-S-20001,"BLACK HILLS DAKOTA DISTILLERY, LLC",Active,STURGIS,8320  N BLUCKSBERG MTN. RD ,SD,57785,2811,Meade,27-Aug-12,27-Aug-12
TN-S-10,BROWN-FORMAN CORPORATION,Active,LYNCHBURG,280  LYNCHBURG  HWY ,TN,37352,5271,MOORE,22-Sep-87,22-Sep-87
TN-S-11,"JACK DANIEL DISTILLERY, LEM MOTLOW, PROP., INC.",Active,LYNCHBURG,280  LYNCHBURG  HWY ,TN,37352,0,MOORE,19-Nov-98,19-Nov-98
TN-S-12,"PRICHARDS' DISTILLERY, INC.",Active,KELSO,11 KELSO SMITHLAND RD ,TN,37348,6112,LINCOLN,11-Dec-00,14-Dec-00
TN-S-15000,"CHISM HARDY ENTERPRISES, LLC",Active,MEMPHIS,5151 E RAINES RD ,TN,38118,0,SHELBY,23-May-07,23-May-07
TN-S-15003,"DIAGEO AMERICAS SUPPLY, INC.",Active,TULLAHOMA,1950 CASCADE HOLLOW RD ,TN,37388,0,COFFEE,1-Jul-08,1-Jul-08
TN-S-15005,CORSAIR ARTISAN LLC,Active,NASHVILLE,1200 CLINTON ST ,TN,37203,2894,DAVIDSON,10-Mar-10,10-Mar-10
TN-S-15007,GOLDEN RULE DISTILLING COMPANY,Active,WOODBURY,119 MOUNTAIN SPIRITS LN ,TN,37190,0,CANNON,26-Aug-11,26-Aug-11
TN-S-15008,"BLUES CITY BREWERY, LLC",Active,MEMPHIS,5151 E RAINES RD ,TN,38118,7026,SHELBY,15-Aug-11,15-Aug-11
TN-S-15010,"SPEAKEASY SPIRITS, LLC",Active,NASHVILLE,900 44TH  AVE N,TN,37209,2201,DAVIDSON,6-Feb-12,6-Feb-12
TN-S-20001,"RMRH ENTERPRISES, LLC",Active,PINEY FLATS,220  PINEY FLATS RD ,TN,37686,0,United States,8-May-12,8-May-12
TN-S-20003,TENN SOUTH DISTILLERY LLC,Active,LYNNVILLE,1800  ABERNATHY RD ,TN,38472,5006,Giles,15-Oct-12,15-Oct-12
TX-S-1,"FIFTH GENERATION, INC.",Active,AUSTIN,12101 MOORE RD ,TX,78719,9769,TRAVIS,8-Apr-97,8-Apr-97
TX-S-15001,"ARCTIC SPIRITS, INC.",Active,SPICEWOOD,5004 BEE CREEK RD ,TX,78669,0,TRAVIS,15-Feb-06,15-Feb-06
TX-S-15005,"RAILEAN DISTILLERS & IMPORTERS, LLC",Active,SAN LEON,341 5TH ST ,TX,77539,0,GALVESTON,25-May-07,25-May-07
TX-S-15012,"BUZZBALLZ, LLC",Active,CARROLLTON,2114 MCDANIEL  DR ,TX,75006,0,DALLAS,12-Feb-10,12-Feb-10
TX-S-15013,"SOUTH CONGRESS DISTILLERY, LLC",Active,MANOR,16525 DECKER CREEK DR ,TX,78653,5009,TRAVIS,8-Apr-10,8-Apr-10
TX-S-15014,"SPIRIT OF TEXAS, LLC",Active,PFLUGERVILLE,1715 DALSHANK ST ,TX,78660,6543,TRAVIS,17-Mar-10,17-Mar-10
TX-S-15015,D.E.W. DISTILLATION LLC,Active,WIMBERLEY,1400 JACOB'S WELL RD ,TX,78676,2608,HAYS,24-May-10,24-May-10
TX-S-15016,"REBECCA CREEK DISTILLERY, LLC",Active,SAN ANTONIO,26605 BULVERDE RD ,TX,78260,2109,BEXAR,28-Apr-10,28-Apr-10
TX-S-15017,"RANGER CREEK BREWING & DISTILLING, LLC",Active,SAN ANTONIO,4834 WHIRLWIND DR ,TX,78217,3715,BEXAR,2-Aug-10,2-Aug-10
TX-S-15019,"LIMITED SPIRITS, LLC",Active,BROOKSHIRE,1207 KENNEY ST ,TX,77423,0,WALLER,5-Nov-10,5-Nov-10
TX-S-15020,"AZAR DISTILLING, LLC",Active,SAN ANTONIO,8501 COVER RD ,TX,78263,0,BEXAR,13-Sep-10,13-Sep-10
TX-S-15021,JELATINI LLC,Active,LEWISVILLE,1590 E HIGHWAY 121 ,TX,75056,4815,DENTON,21-Oct-10,21-Oct-10
