GEO_ID,NAME,H002001,H002002,H002003,H002004,H002005
id,Geographic Area Name,Total,Total!!Urban,Total!!Urban!!Inside urbanized areas,Total!!Urban!!Inside urban clusters,Total!!Rural
0500000US05047,"Franklin County, Arkansas",8021,1418,0,1418,6603
0500000US05049,"Fulton County, Arkansas",6778,528,0,528,6250
0500000US05053,"Grant County, Arkansas",7758,1951,0,1951,5807
0500000US05055,"Greene County, Arkansas",17892,10516,0,10516,7376
0500000US05069,"Jefferson County, Arkansas",33006,22629,22629,0,10377
0500000US05059,"Hot Spring County, Arkansas",14332,4667,20,4647,9665
0500000US05061,"Howard County, Arkansas",6238,1941,0,1941,4297
0500000US05063,"Independence County, Arkansas",16187,4955,0,4955,11232
0500000US05065,"Izard County, Arkansas",7232,0,0,0,7232
0500000US05067,"Jackson County, Arkansas",7601,3072,0,3072,4529
0500000US05091,"Miller County, Arkansas",19281,11682,11682,0,7599
0500000US05071,"Johnson County, Arkansas",11311,3048,0,3048,8263
0500000US05073,"Lafayette County, Arkansas",4353,0,0,0,4353
0500000US05075,"Lawrence County, Arkansas",8000,2844,0,2844,5156
0500000US05077,"Lee County, Arkansas",4356,1873,0,1873,2483
0500000US05079,"Lincoln County, Arkansas",4860,0,0,0,4860
0500000US05087,"Madison County, Arkansas",7481,0,0,0,7481
0500000US05089,"Marion County, Arkansas",9354,0,0,0,9354
0500000US05081,"Little River County, Arkansas",6460,1895,0,1895,4565
0500000US05083,"Logan County, Arkansas",10108,3036,0,3036,7072
0500000US05085,"Lonoke County, Arkansas",27239,14881,11954,2927,12358
0500000US05103,"Ouachita County, Arkansas",13121(r15861),5653,0,5653,7468
0500000US05093,"Mississippi County, Arkansas",20459,13308,0,13308,7151
0500000US05095,"Monroe County, Arkansas",4455,1251,0,1251,3204
0500000US05097,"Montgomery County, Arkansas",5763,0,0,0,5763
0500000US05099,"Nevada County, Arkansas",4563,1317,0,1317,3246
0500000US05101,"Newton County, Arkansas",4664,0,0,0,4664
0500000US05109,"Pike County, Arkansas",5580,0,0,0,5580
0500000US05105,"Perry County, Arkansas",4907,0,0,0,4907
0500000US05107,"Phillips County, Arkansas",10126,5163,0,5163,4963
0500000US13011,"Banks County, Georgia",7595,426,0,426,7169
0500000US13013,"Barrow County, Georgia",26400,18353,4278,14075,8047
0500000US13017,"Ben Hill County, Georgia",7942,5167,0,5167,2775
0500000US13039,"Camden County, Georgia",21114,13963,0,13963,7151
0500000US13023,"Bleckley County, Georgia",5304,2397,0,2397,2907
0500000US13009,"Baldwin County, Georgia",20159,12949,0,12949,7210
0500000US13005,"Bacon County, Georgia",4801,1427,0,1427,3374
0500000US13007,"Baker County, Georgia",1652,0,0,0,1652
0500000US13021,"Bibb County, Georgia",69662,60609,60609,0,9053
0500000US13015,"Bartow County, Georgia",39823,25864,23885,1979,13959
0500000US13019,"Berrien County, Georgia",8709,2114,0,2114,6595
0500000US13027,"Brooks County, Georgia",7706,2276,438,1838,5430
0500000US13029,"Bryan County, Georgia",11842,5345,3562,1783,6497
0500000US13031,"Bulloch County, Georgia",28794,14584,0,14584,14210
0500000US13033,"Burke County, Georgia",9865,2300,0,2300,7565
0500000US13035,"Butts County, Georgia",9357,2222,0,2222,7135
0500000US13037,"Calhoun County, Georgia",2409,0,0,0,2409
0500000US13053,"Chattahoochee County, Georgia",3376,1763,1763,0,1613
0500000US13043,"Candler County, Georgia",4761,1576,0,1576,3185
0500000US13045,"Carroll County, Georgia",44607,25751,8597,17154,18856
0500000US13047,"Catoosa County, Georgia",26606,19536,19536,0,7070
0500000US13049,"Charlton County, Georgia",4475,1769,0,1769,2706
0500000US13051,"Chatham County, Georgia",119323(r17733),113719,110227,3492,5604
0500000US13069,"Coffee County, Georgia",17061,6006,0,6006,11055
0500000US13055,"Chattooga County, Georgia",10977,4260,0,4260,6717
0500000US13057,"Cherokee County, Georgia",82360,67713,66882,831,14647
0500000US13059,"Clarke County, Georgia",51068,48177,48177,0,2891
0500000US13061,"Clay County, Georgia",2102,0,0,0,2102
0500000US13063,"Clayton County, Georgia",104705,103808,103808,0,897
0500000US13065,"Clinch County, Georgia",3007,1203,0,1203,1804
0500000US13067,"Cobb County, Georgia",286490,285819,285819,0,671
0500000US13081,"Crisp County, Georgia",10734,5494,0,5494,5240
0500000US13077,"Coweta County, Georgia",50171,33707,32723,984,16464
0500000US13079,"Crawford County, Georgia",5292,0,0,0,5292
0500000US13071,"Colquitt County, Georgia",18311,7843,0,7843,10468
0500000US13073,"Columbia County, Georgia",48626,40337,39202,1135,8289
0500000US13075,"Cook County, Georgia",7287,2990,0,2990,4297
0500000US13093,"Dooly County, Georgia",6328,2345,0,2345,3983
0500000US13083,"Dade County, Georgia",7305,1703,442,1261,5602
0500000US13085,"Dawson County, Georgia",10425,1764,1764,0,8661
0500000US13087,"Decatur County, Georgia",12125,5320,0,5320,6805
0500000US13089,"DeKalb County, Georgia",304968(r17781),304189,304189,0,779
0500000US13091,"Dodge County, Georgia",9857,2689,0,2689,7168
0500000US13109,"Evans County, Georgia",4664,1758,0,1758,2906
0500000US13095,"Dougherty County, Georgia",40801,35142,35142,0,5659
0500000US13097,"Douglas County, Georgia",51672,43856,43856,0,7816
0500000US13099,"Early County, Georgia",4975,1513,0,1513,3462
0500000US13101,"Echols County, Georgia",1558,0,0,0,1558
0500000US13103,"Effingham County, Georgia",19884,6447,500,5947,13437
0500000US13105,"Elbert County, Georgia",9583,2925,0,2925,6658
0500000US13107,"Emanuel County, Georgia",9968,3106,0,3106,6862
0500000US06077,"San Joaquin County, California",233755,213651,207818,5833,20104
0500000US13111,"Fannin County, Georgia",16207,0,0,0,16207
0500000US13113,"Fayette County, Georgia",40793,33489,33489,0,7304
0500000US13115,"Floyd County, Georgia",40551,25666,25666,0,14885
0500000US13117,"Forsyth County, Georgia",64052,57306,57306,0,6746
0500000US13119,"Franklin County, Georgia",10553,1038,0,1038,9515
0500000US06073,"San Diego County, California",1164786,1123536,1113523,10013,41250
0500000US06075,"San Francisco County, California",376942,376941,376941,0,1
0500000US06093,"Siskiyou County, California",23910,7549,0,7549,16361
0500000US06079,"San Luis Obispo County, California",117315,96921,72164,24757,20394
0500000US06081,"San Mateo County, California",271031,264988,257001,7987,6043
0500000US06083,"Santa Barbara County, California",152834,143442,134360,9082,9392
0500000US06085,"Santa Clara County, California",631920,624604,624604,0,7316
0500000US06087,"Santa Cruz County, California",104476,90043,90043,0,14433
0500000US06089,"Shasta County, California",77313,53367,50181,3186,23946
0500000US06091,"Sierra County, California",2328,7,7,0,2321
0500000US06115,"Yuba County, California",27635,19160,16119,3041,8475
0500000US06095,"Solano County, California",152698,146654,136693,9961,6044
0500000US06097,"Sonoma County, California",204572,172126,147667,24459,32446
0500000US06099,"Stanislaus County, California",179503,164402,151753,12649,15101
0500000US06101,"Sutter County, California",33858,28491,25938,2553,5367
0500000US06103,"Tehama County, California",26987,12600,0,12600,14387
0500000US06105,"Trinity County, California",8681,0,0,0,8681
0500000US06111,"Ventura County, California",281695,271912,258603,13309,9783
0500000US06113,"Yolo County, California",75054,69421,65944,3477,5633
